Frame_Width,Clapping_Force,Int_Force,Frame_Widths,Temple_Comfort_S,Temple_Fit_S,OverallFrame_Comfort_S,Temple_Comfort_D,Temple_Fit_D,OverallFrame_Comfort_D,Temple_Length,"Expension
Distance"
124,0.457,0.46,140,0,1,1,0,1,0,102,19.045
128,0.44,0.44,140,0,1,0,0,1,0,102,16.7
132,0.345,0.34,140,1,0,2,2,0,2,102,14.37
140,0.234,0.24,140,0,-1,1,1,-1,0,102,10.65
148,0.214,0.22,140,-1,-2,-1,-1,-1,-1,102,7.49
132,0.345,0.34,140,2,0,2,2,0,2,102,14.37
130,0.36,0.36,146,2,0,2,2,0,2,104,14.9
134,0.437,0.44,146,-1,2,-1,-1,2,-1,104,17.485
138,0.35,0.36,146,2,0,2,2,0,2,104,13.38
142,0.335,0.34,146,1,-1,1,1,-1,1,104,11.235
146,0.233,0.24,146,2,-1,2,1,-1,1,104,9.63
150,0.155,0.16,146,1,-2,1,1,-2,1,104,6.27
130,0.36,0.36,146,2,0,2,2,0,2,104,14.9
122,0.515,0.52,138,1,1,2,2,1,2,106,23.665
126,0.463,0.46,138,2,1,2,2,1,2,106,21.5
130,0.384,0.38,138,1,2,1,1,2,1,106,17.71
138,0.375,0.38,138,2,0,2,2,0,2,106,15.5
146,0.298,0.3,138,3,1,3,3,0,3,106,12.5
150,0.127,0.12,138,1,-1,1,2,-2,2,106,8.5
146,0.298,0.3,138,3,1,2,3,1,2,106,12.5
122,0.45,0.46,138,-1,2,-1,-1,2,-1,108,22.5
126,0.442,0.44,138,1,1,1,1,1,1,108,20.25
130,0.382,0.38,138,2,0,2,2,0,2,108,17
138,0.32,0.32,138,1,-1,1,1,-1,1,108,14.5
142,0.3,0.3,138,2,-1,2,1,-1,2,108,12.5
150,0.15,0.16,138,-1,-2,-1,-1,-2,-1,108,7
130,0.382,0.38,138,2,0,2,2,0,2,108,17
126,0.563,0.56,138,-3,2,1,-2,2,1,98,19
130,0.416,0.42,138,3,0,2,2,0,3,98,16.175
134,0.493,0.5,138,2,1,1,2,0,1,98,17.11
138,0.436,0.44,138,2,0,3,2,0,1,98,13.735
142,0.309,0.3,138,-1,-1,-1,0,-2,0,98,12.3
146,0.235,0.24,138,0,-2,-1,0,-1,0,98,9
130,0.416,0.42,138,1,0,1,0,0,1,98,16.175
124,0.512,0.52,140,1,1,1,2,0,1,96,18.58
128,0.542,0.54,140,-2,0,1,-1,0,1,96,17.275
136,0.367,0.36,140,2,1,2,3,0,3,96,12.31
140,0.26,0.26,140,1,1,1,1,1,1,96,10.195
146,0.217,0.22,140,-1,-2,-1,-1,-2,-1,96,8
150,0.127,0.12,140,-1,-1,-1,-1,-2,-1,96,4.5
124,0.512,0.52,140,1,0,1,1,0,1,96,18.58
124,0.39,0.4,134,2,0,2,2,0,2,100,15.075
128,0.394,0.4,134,2,1,2,2,1,2,100,15.5
134,0.357,0.36,134,3,0,3,2,0,2,100,13.15
138,0.265,0.26,134,2,0,2,2,0,2,100,9.078
142,0.22,0.22,134,2,0,2,2,-1,2,100,6.325
146,0.172,0.18,134,2,-1,2,2,-1,2,100,5.36
